decision_id,path,kind,reason,risk,evidence,owner,question,recommended_decision,batch_id,status
P1-REVIEW-156,run/2/abla_scalablility.sh,script,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-run,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B14-RUN,REVIEW
P1-REVIEW-157,run/3/time_sharing.sh,script,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-run,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B14-RUN,REVIEW
P1-REVIEW-158,run/bin_sharing.sh,script,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-run,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B14-RUN,REVIEW
P1-REVIEW-159,run/cfg_parser.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=6,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=6,worker-run,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B14-RUN,REVIEW
P1-REVIEW-160,run/clean.sh,script,unreachable by AST graph but has risk/ref signals: risks=none refs=8,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=8,worker-run,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B14-RUN,REVIEW
P1-REVIEW-161,run/max_core_num_scan.py,python,unreachable by AST graph but has risk/ref signals: risks=shell-call refs=0,shell-call,unreachable by AST graph but has risk/ref signals: risks=shell-call refs=0,worker-run,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B14-RUN,REVIEW
P1-REVIEW-162,run/scan_coalescing.sh,script,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-run,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B14-RUN,REVIEW
P1-REVIEW-163,sched/__init__.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=118,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=118,worker-sched,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B15-SCHED,REVIEW
P1-REVIEW-171,simple_test_collector.py,python,unreachable by AST graph but has risk/ref signals: risks=reflection refs=2,reflection,unreachable by AST graph but has risk/ref signals: risks=reflection refs=2,worker-root,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B13-ROOT,REVIEW
P1-REVIEW-172,stats_collector.json,config,unreachable by AST graph but has risk/ref signals: risks=none refs=16,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=16,worker-root,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B13-ROOT,REVIEW
P1-REVIEW-173,task/__init__.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=50,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=50,worker-task,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B18-TASK,REVIEW
P1-REVIEW-174,task/throughput_cnt.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=2,worker-task,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B18-TASK,REVIEW
P1-REVIEW-175,test_core_allocation.py,test,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-tests,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B19-TESTS,REVIEW
P1-REVIEW-176,test_repack_diagnostic.py,test,unreachable by AST graph but has risk/ref signals: risks=solver-gurobi refs=1,solver-gurobi,unreachable by AST graph but has risk/ref signals: risks=solver-gurobi refs=1,worker-tests,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B19-TESTS,REVIEW
